id,title,text,image,image1,created_at,updated_at
8,Ukrainian beehive Bjilnyk protect your bees.,"Ukrainian beehive Bjilnyk is not just a new hive. This is not only a new technology. This is a new philosophy of beekeeping, which is based on deep understanding and full accounting of the laws of bees existence. This is a house for bee with optimal conditions existing throughout the year, which is a convenient and technological for beekeepers. Ukrainian beehive Bjilnyk is an invention that transforms the current state of relations between man and the honeybee to a new level.",photo_titul.JPG,Літо-огляд-нове.jpg,2017-04-25 06:07:21.195312,2017-05-10 14:58:15.921527
9,- 1 -,"During the cold period, Ukrainian Beehive Bjilnyk (UBB) provides unique protection of bees to a majority of threats and impacts. In winter and early spring, UBB gives for the bees nest a very good thermal conditions as above and on all sides are protected by two separate walls and a layer of air between them.",фото2.jpg,Фото3.JPG,2017-04-25 06:09:08.105874,2017-05-07 11:23:13.768235
11,- 2 -,"Internal bodies additionally wrapped by insulated cloth, which keeps warm air around bees as well as in the hollow of a tree with very thick walls.",Фото4.JPG,Фото5.JPG,2017-05-07 06:13:41.670457,2017-05-07 10:26:14.831151
12,- 3 -,"As seen in infrared images, unlike conventional hives, in UBB virtually no heat loss is happening through the notch, vertical ventilation, as well as through thin walls. The bees consume significantly less food and are not worn out. And in early spring with a significant reduction of temperature there is no danger of hypothermia and brood disease.",Фото6.jpg,Фото7.jpg,2017-05-07 11:30:31.010586,2017-05-07 11:33:15.324934
13,- 4 -,"As insulated cloth it is best to use the material with a reflective surface of a thin layer of aluminum foil. This cover reduces heat losses not only by convection (air flow), but also by thermal emission (infrared waves). Also, such continuous cover of aluminum foil protects bee nest from fluctuations of the magnetic field. Some beekeepers offer to ground this protective shell by the thin copper wire.",Фото8.JPG,Фото9.JPG,2017-05-07 11:35:06.065237,2017-05-07 11:35:06.065237
14,- 5 -,"Bee nest in UBB is protected from the noise and stress much better than in other hives because the winter cluster is located behind two separate walls, between which there is no binding element. Therefore, wind, rain, hail, anthropogenic noise or birds (woodpeckers, titmice, etc.) do not violate the peace of bees. They eat much less food and are less worn out during the winter, because each disturbance leads to the loss of additional energy and vitality. Vibration from transport or domestic machinery or even walking near by the hive can disturb the bee cluster. But in UBB inner chambers in winter are set on two thin laths, which rest on the bottom only by their ends. Due to this, much of the vibration is absorbed.Also, it improves ventilation and moisture removal from the bottom of the nest.",Фото10.JPG,фото11.JPG,2017-05-07 11:37:29.767353,2017-05-07 11:37:29.767353
15,- 6 -,"The bottom panel of UBB is composed of individual boards, some of them are not fixed. These, nonfixed segments of the bottom are very easy to pull out or insert from the sides of UBB regulating the size of the opening. This opening from the top or the bottom could be covered with shallow ventilation mesh or queen excluder. This allows adjustable ventilation in the winter or in summer migrations, protection from mice and birds, separation from fallen Varroa mites and waste or limitation of the bees from flying when pesticides are used in surrounding areas. ",Фото12.JPG,Фото13.jpg,2017-05-07 11:39:09.317999,2017-05-07 11:39:09.317999
16,- 7 -,"In the winter to protect from excessive moisture, Ukrainian beehive Bjilnyk is equipped with a unique ventilation system with heat recovery. This system removes the moisture produced by the consumption of honey by bees, and the heat of vent gasses and heat that generated by steam condensation is kept under insulation cloth around bee nest. The intensity of such ventilation in winter depends on the outside temperature and increases by warming and decreases when the temperature drops. For example, in warm days it is more intensive than in cold nights. Such feature helps saving energy and heat (food stored) accordingly. Instead, in the traditional system of ventilation through the opening in the inner cover by falling outdoor temperature the ventilation flow increases and bees have to spend way more food and energy for heating of the nest and the atmosphere.
For optimum setting and adjustment of such ventilation system with heat recovery beekeeper should take into account the climatic conditions and the size of bee colony. By proper selection of the diameter of vent tube and height of its outer end, and by regulating the working section of ventilation ducts depending on the weather it is possible to maintain optimal conditions in the bees nest. 
All these technical features of Ukrainian beehive Bjilnyk enable the bee's cluster to be in deep tranquility all winter long and depending on climatic conditions and size of the colony to spend 2-2.5 times less honey than traditionally. Reduced load on the intestine minimizes the threat of Nozema and other infectious diseases.
Wintering and intensity of spring development are very dependent on the size of the colony and the state of its individuals. In autumn you can increase the size of the colony by feeding sugar syrup, but this usually impairs the ""quality"" of bees. Therefore, the best way to get a large colony is combining several smaller ones. With the first autumn frosts the bottom of UBB is overturned, and one chamber is installed on the top of the other of two chambers of adjacent bee colonies. Thus forming well prepared for wintering a large bee colony. In this case the bees do not conflict, form a common cluster and, usually in the spring, bees remove the weaker queen.
With this merger you can accommodate food stocks so that bee cluster and brood in spring were in the warmest area under the cover of the upper body. 
The honey and beebread frames are placed in the lower chamber for spring development. 
Thanks to the comfortable conditions, the bee colony in UBB during the winter is in a state of deep tranquility and the queen starts laying eggs later, usually after first flight. This reduces consumption of honey and preserves ""vitality"" of the winter bees. Also, this will significantly reduce the likelihood of hypothermia of brood and its infection (foulbrood, fungal diseases).
Very often in the traditional hive during winter warming the spring sun warms the thin front wall and provokes the emergence of the early brood. Heating of the brood requires a lot of energy, and if cold returns, the family may die from the lack of food or diarrhea.
In UBB, the insulated cloth creates the thermal cover around the nest, so the bee colony is developing very quickly and in the presence of food within six weeks after the first flight occupies both chambers. Good thermal conditions of UBB also contribute to better collection of spring nectar and pollen as more bees can switch from heating to the field work.
",Фото14.JPG,Фото15.JPG,2017-05-07 11:41:32.573161,2017-05-07 11:41:32.573161
17,- 8 -,"Maintaining the high intensity of growth and preventing swarming, the nest could be expanded, used for packages or splits. If you need to split the colony, the bottom is overturned and two new small boxes with wax foundations are set next to each other. Above each of them are placed chambers with bees. In queenless colonies new queen or queen cells are added. After the lower boxes with foundations are build up, they are placed on the top. To collect nectar above them, queen excluders are placed on them and large expanded super is installed above.
With the gradual development and occupation of this box, one colony with two queens is peacefully formed and adjusted of different sizes of colonies. The productivity of such united colony far exceeds the overall performance of two separate colonies!!!         
Honey supers are placed one top as bee colony develops further.",Фото16.jpg,Фото17.JPG,2017-05-07 11:53:25.226565,2017-05-07 11:53:25.226565
18,- 9 -,"UBB allows an easy access to the brood chambers without removing the heavy honey supers. A beekeeper can easily lift common honey suppers with no help and set the thin bar or plank under. After fixing one of the sides of the honey supers by stretching or extra weight, the brood chambers on the opposite side can be easily removed and returned to the place. Thus beekeeper can check brood chambers, change their location, cut the drone brood or medicate brood area without full dismantling of the hive.",Фото18.jpg,Фото19.jpg,2017-05-07 11:56:27.535653,2017-05-07 11:56:27.535653
